GEOID,NAME,POPULATION
48021,"Bastrop County, Texas",102058
48027,"Bell County, Texas",379617
48029,"Bexar County, Texas",2028236
48037,"Bowie County, Texas",92581
48039,"Brazoria County, Texas",379689
48041,"Brazos County, Texas",237032
48061,"Cameron County, Texas",423029
48085,"Collin County, Texas",1109462
48091,"Comal County, Texas",174986
48099,"Coryell County, Texas",84232
48113,"Dallas County, Texas",2586050
48121,"Denton County, Texas",941647
48135,"Ector County, Texas",161091
48139,"Ellis County, Texas",202678
48141,"El Paso County, Texas",867947
48157,"Fort Bend County, Texas",858527
48167,"Galveston County, Texas",355062
48181,"Grayson County, Texas",139336
48183,"Gregg County, Texas",124201
48187,"Guadalupe County, Texas",177036
48201,"Harris County, Texas",4728030
48203,"Harrison County, Texas",69150
48209,"Hays County, Texas",255397
48213,"Henderson County, Texas",83667
48215,"Hidalgo County, Texas",880356
48231,"Hunt County, Texas",103394
48245,"Jefferson County, Texas",253704
48251,"Johnson County, Texas",187280
48257,"Kaufman County, Texas",157768
48291,"Liberty County, Texas",97621
48303,"Lubbock County, Texas",314451
48309,"McLennan County, Texas",263115
48329,"Midland County, Texas",167969
48339,"Montgomery County, Texas",648886
48355,"Nueces County, Texas",353079
48361,"Orange County, Texas",84742
48367,"Parker County, Texas",156764
48375,"Potter County, Texas",116547
48381,"Randall County, Texas",143854
48397,"Rockwall County, Texas",116381
48409,"San Patricio County, Texas",69699
48423,"Smith County, Texas",237186
48427,"Starr County, Texas",66049
48439,"Tarrant County, Texas",2126477
48441,"Taylor County, Texas",143326
48451,"Tom Green County, Texas",119411
48453,"Travis County, Texas",1305154
48469,"Victoria County, Texas",90964
48471,"Walker County, Texas",77977
48479,"Webb County, Texas",267945
48485,"Wichita County, Texas",130069
48491,"Williamson County, Texas",643026
48497,"Wise County, Texas",71714
49005,"Cache County, Utah",137417
49011,"Davis County, Utah",367285
49035,"Salt Lake County, Utah",1186421
49045,"Tooele County, Utah",76640
49049,"Utah County, Utah",684986
49053,"Washington County, Utah",191226
49057,"Weber County, Utah",267066
50007,"Chittenden County, Vermont",168865
51003,"Albemarle County, Virginia",113535
51013,"Arlington County, Virginia",232965
51015,"Augusta County, Virginia",77563
51019,"Bedford County, Virginia",80131
51041,"Chesterfield County, Virginia",370688
51059,"Fairfax County, Virginia",1139720
51061,"Fauquier County, Virginia",73815
